"","Survived","Pclass","Sex","Age","Fare","Family_size","Title"
"572","0","3","male",16,8.05,0,"Mr"
"573","0","3","male",19,14.5,0,"Mr"
"574","1","2","female",34,13,0,"Miss"
"575","1","1","female",39,55.9,1,"Mrs"
"576","0","3","female",29.6991176470588,14.4583,1,"Mrs"
"577","1","3","male",32,7.925,0,"Mr"
"578","1","2","female",25,30,2,"Miss"
"579","1","1","female",39,110.8833,2,"Mrs"
"580","0","2","male",54,26,0,"Mr"
"581","0","1","male",36,40.125,0,"Mr"
"582","0","3","male",29.6991176470588,8.7125,0,"Mr"
"583","1","1","female",18,79.65,2,"Miss"
"584","0","2","male",47,15,0,"Mr"
"585","1","1","male",60,79.2,2,"Mr"
"586","0","3","male",22,8.05,0,"Mr"
"587","0","3","male",29.6991176470588,8.05,0,"Mr"
"588","0","3","male",35,7.125,0,"Mr"
"589","1","1","female",52,78.2667,1,"Mrs"
"590","0","3","male",47,7.25,0,"Mr"
"591","0","3","female",29.6991176470588,7.75,2,"Miss"
"592","0","2","male",37,26,1,"Mr"
"593","0","3","male",36,24.15,2,"Mr"
"594","1","2","female",29.6991176470588,33,0,"Miss"
"595","0","3","male",49,0,0,"Mr"
"596","0","3","male",29.6991176470588,7.225,0,"Mr"
"597","1","1","male",49,56.9292,1,"Noble male"
"598","1","2","female",24,27,3,"Mrs"
"599","0","3","male",29.6991176470588,7.8958,0,"Mr"
"600","0","1","male",29.6991176470588,42.4,0,"Mr"
"601","0","3","male",44,8.05,0,"Mr"
"602","1","1","male",35,26.55,0,"Mr"
"603","0","3","male",36,15.55,1,"Mr"
"604","0","3","male",30,7.8958,0,"Mr"
"605","1","1","male",27,30.5,0,"Mr"
"606","1","2","female",22,41.5792,3,"Mrs"
"607","1","1","female",40,153.4625,0,"Miss"
"608","0","3","female",39,31.275,6,"Mrs"
"609","0","3","male",29.6991176470588,7.05,0,"Mr"
"610","1","3","female",29.6991176470588,15.5,1,"Miss"
"611","0","3","male",29.6991176470588,7.75,0,"Mr"
"612","0","3","male",35,8.05,0,"Mr"
"613","1","2","female",24,65,3,"Miss"
"614","0","3","male",34,14.4,2,"Mr"
"615","0","3","female",26,16.1,1,"Mrs"
"616","1","2","female",4,39,3,"Miss"
"617","0","2","male",26,10.5,0,"Mr"
"618","0","3","male",27,14.4542,1,"Mr"
"619","1","1","male",42,52.5542,1,"Mr"
"620","1","3","male",20,15.7417,2,"Mr"
"621","0","3","male",21,7.8542,0,"Mr"
"622","0","3","male",21,16.1,0,"Mr"
"623","0","1","male",61,32.3208,0,"Mr"
"624","0","2","male",57,12.35,0,"Noble male"
"625","1","1","female",21,77.9583,0,"Miss"
"626","0","3","male",26,7.8958,0,"Mr"
"627","0","3","male",29.6991176470588,7.7333,0,"Mr"
"628","0","3","male",51,7.0542,0,"Mr"
"629","1","1","male",32,30.5,0,"Noble male"
"630","0","1","male",29.6991176470588,0,0,"Mr"
"631","0","3","female",9,27.9,5,"Miss"
"632","1","2","female",28,13,0,"Miss"
"633","0","3","male",32,7.925,0,"Mr"
"634","0","2","male",31,26.25,2,"Mr"
"635","0","3","female",41,39.6875,5,"Mrs"
"636","0","3","male",29.6991176470588,16.1,1,"Mr"
"637","0","3","male",20,7.8542,0,"Mr"
"638","1","1","female",24,69.3,0,"Noble female"
"639","0","3","female",2,27.9,5,"Miss"
"640","1","3","male",29.6991176470588,56.4958,0,"Mr"
"641","1","3","female",0.75,19.2583,3,"Miss"
"642","1","1","male",48,76.7292,1,"Mr"
"643","0","3","male",19,7.8958,0,"Mr"
"644","1","1","male",56,35.5,0,"Noble male"
"645","0","3","male",29.6991176470588,7.55,0,"Mr"
"646","1","3","female",23,7.55,0,"Miss"
"647","0","3","male",29.6991176470588,7.8958,0,"Mr"
"648","1","2","female",18,23,1,"Miss"
"649","0","3","male",21,8.4333,0,"Mr"
"650","1","3","female",29.6991176470588,7.8292,0,"Miss"
"651","0","3","female",18,6.75,0,"Miss"
"652","0","2","male",24,73.5,2,"Mr"
"653","0","3","male",29.6991176470588,7.8958,0,"Mr"
"654","0","3","female",32,15.5,2,"Mrs"
"655","0","2","male",23,13,0,"Mr"
"656","0","1","male",58,113.275,2,"Mr"
"657","1","1","male",50,133.65,2,"Noble male"
"658","0","3","male",40,7.225,0,"Mr"
"659","0","1","male",47,25.5875,0,"Mr"
"660","0","3","male",36,7.4958,0,"Mr"
"661","1","3","male",20,7.925,1,"Mr"
"662","0","2","male",32,73.5,2,"Mr"
"663","0","2","male",25,13,0,"Mr"
"664","0","3","male",29.6991176470588,7.775,0,"Mr"
"665","0","3","male",43,8.05,0,"Mr"
"666","1","1","female",29.6991176470588,52,1,"Mrs"
"667","1","2","female",40,39,2,"Mrs"
"668","0","1","male",31,52,1,"Mr"
"669","1","2","male",31,13,0,"Mr"
"670","0","2","male",29.6991176470588,0,0,"Mr"
"671","0","3","male",18,7.775,0,"Mr"
"672","0","3","male",24.5,8.05,0,"Mr"
"673","1","3","female",18,9.8417,0,"Miss"
"674","0","3","female",43,46.9,7,"Mrs"
"675","1","1","male",36,512.3292,1,"Mr"
"676","0","3","female",29.6991176470588,8.1375,0,"Miss"
"677","1","1","male",27,76.7292,0,"Mr"
"678","0","3","male",20,9.225,0,"Mr"
"679","0","3","male",14,46.9,7,"Mr"
"680","0","2","male",60,39,2,"Mr"
"681","0","2","male",25,41.5792,3,"Mr"
"682","0","3","male",14,39.6875,5,"Mr"
"683","0","3","male",19,10.1708,0,"Mr"
"684","0","3","male",18,7.7958,0,"Mr"
"685","1","1","female",15,211.3375,1,"Miss"
"686","1","1","male",31,57,1,"Mr"
"687","1","3","female",4,13.4167,1,"Miss"
"688","1","3","male",29.6991176470588,56.4958,0,"Mr"
"689","0","3","male",25,7.225,0,"Mr"
"690","0","1","male",60,26.55,0,"Noble male"
"691","0","2","male",52,13.5,0,"Mr"
"692","0","3","male",44,8.05,0,"Mr"
"693","1","3","female",29.6991176470588,7.7333,0,"Miss"
"694","0","1","male",49,110.8833,2,"Mr"
"695","0","3","male",42,7.65,0,"Mr"
"696","1","1","female",18,227.525,1,"Mrs"
"697","1","1","male",35,26.2875,0,"Mr"
"698","0","3","female",18,14.4542,1,"Miss"
"699","0","3","male",25,7.7417,0,"Mr"
"700","0","3","male",26,7.8542,1,"Mr"
"701","0","2","male",39,26,0,"Mr"
"702","1","2","female",45,13.5,0,"Mrs"
"703","1","1","male",42,26.2875,0,"Mr"
"704","1","1","female",22,151.55,0,"Miss"
"705","1","3","male",29.6991176470588,15.2458,2,"Master"
"706","1","1","female",24,49.5042,0,"Noble female"
"707","0","1","male",29.6991176470588,26.55,0,"Mr"
"708","1","1","male",48,52,1,"Mr"
"709","0","3","male",29,9.4833,0,"Mr"
"710","0","2","male",52,13,0,"Mr"
"711","0","3","male",19,7.65,0,"Mr"
"712","1","1","female",38,227.525,0,"Miss"
"713","1","2","female",27,10.5,0,"Miss"
"714","0","3","male",29.6991176470588,15.5,0,"Mr"
"715","0","3","male",33,7.775,0,"Mr"
"716","1","2","female",6,33,1,"Miss"
"717","0","3","male",17,7.0542,1,"Mr"
"718","0","2","male",34,13,0,"Mr"
"719","0","2","male",50,13,0,"Mr"
"720","1","1","male",27,53.1,1,"Mr"
"721","0","3","male",20,8.6625,0,"Mr"
"722","1","2","female",30,21,3,"Mrs"
"723","1","3","female",29.6991176470588,7.7375,0,"Miss"
"724","0","2","male",25,26,1,"Mr"
"725","0","3","female",25,7.925,1,"Miss"
"726","1","1","female",29,211.3375,0,"Miss"
"727","0","3","male",11,18.7875,0,"Mr"
"728","0","2","male",29.6991176470588,0,0,"Mr"
"729","0","2","male",23,13,0,"Mr"
"730","0","2","male",23,13,0,"Mr"
"731","0","3","male",28.5,16.1,0,"Mr"
"732","0","3","female",48,34.375,4,"Mrs"
"733","1","1","male",35,512.3292,0,"Mr"
"734","0","3","male",29.6991176470588,7.8958,0,"Mr"
"735","0","3","male",29.6991176470588,7.8958,0,"Mr"
"736","1","1","male",29.6991176470588,30,0,"Mr"
"737","0","1","male",36,78.85,1,"Mr"
"738","1","1","female",21,262.375,4,"Miss"
"739","0","3","male",24,16.1,1,"Mr"
"740","1","3","male",31,7.925,0,"Mr"
"741","0","3","male",16,20.25,2,"Mr"
"742","1","2","female",30,13,0,"Miss"
"743","0","1","male",19,53.1,1,"Mr"
"744","0","3","male",31,7.75,0,"Mr"
"745","1","2","female",4,23,2,"Miss"
"746","1","3","male",6,12.475,1,"Master"
"747","0","3","male",33,9.5,0,"Mr"
"748","0","3","male",23,7.8958,0,"Mr"
"749","1","2","female",48,65,3,"Mrs"
"750","1","2","male",0.67,14.5,2,"Master"
"751","0","3","male",28,7.7958,0,"Mr"
"752","0","2","male",18,11.5,0,"Mr"
"753","0","3","male",34,8.05,0,"Mr"
"754","1","1","female",33,86.5,0,"Noble female"
"755","0","3","male",29.6991176470588,14.5,0,"Mr"
"756","0","3","male",41,7.125,0,"Mr"
"757","1","3","male",20,7.2292,0,"Mr"
"758","1","1","female",36,120,3,"Mrs"
"759","0","3","male",16,7.775,0,"Mr"
"760","1","1","female",51,77.9583,1,"Mrs"
"761","0","1","male",29.6991176470588,39.6,0,"Noble male"
"762","0","3","female",30.5,7.75,0,"Miss"
"763","0","3","male",29.6991176470588,24.15,1,"Mr"
"764","0","3","male",32,8.3625,0,"Mr"
"765","0","3","male",24,9.5,0,"Mr"
"766","0","3","male",48,7.8542,0,"Mr"
"767","0","2","female",57,10.5,0,"Mrs"
"768","0","3","male",29.6991176470588,7.225,0,"Mr"
"769","1","2","female",54,23,4,"Mrs"
"770","0","3","male",18,7.75,0,"Mr"
"771","0","3","male",29.6991176470588,7.75,0,"Mr"
"772","1","3","female",5,12.475,0,"Miss"
"773","0","3","male",29.6991176470588,7.7375,0,"Mr"
"774","1","1","female",43,211.3375,1,"Mrs"
"775","1","3","female",13,7.2292,0,"Miss"
"776","1","1","female",17,57,1,"Mrs"
"777","0","1","male",29,30,0,"Mr"
"778","0","3","male",29.6991176470588,23.45,3,"Mr"
"779","0","3","male",25,7.05,0,"Mr"
"780","0","3","male",25,7.25,0,"Mr"
"781","1","3","female",18,7.4958,0,"Miss"
"782","0","3","male",8,29.125,5,"Master"
"783","1","3","male",1,20.575,3,"Master"
"784","0","1","male",46,79.2,0,"Mr"
"785","0","3","male",29.6991176470588,7.75,0,"Mr"
"786","0","2","male",16,26,0,"Mr"
"787","0","3","female",29.6991176470588,69.55,10,"Miss"
"788","0","1","male",29.6991176470588,30.6958,0,"Mr"
"789","0","3","male",25,7.8958,0,"Mr"
"790","0","2","male",39,13,0,"Mr"
"791","1","1","female",49,25.9292,0,"Noble female"
"792","1","3","female",31,8.6833,0,"Mrs"
"793","0","3","male",30,7.2292,0,"Mr"
"794","0","3","female",30,24.15,2,"Mrs"
"795","0","2","male",34,13,0,"Mr"
"796","1","2","female",31,26.25,2,"Mrs"
"797","1","1","male",11,120,3,"Master"
"798","1","3","male",0.42,8.5167,1,"Master"
"799","1","3","male",27,6.975,0,"Mr"
"800","0","3","male",31,7.775,0,"Mr"
"801","0","1","male",39,0,0,"Mr"
"802","0","3","female",18,7.775,0,"Miss"
"803","0","2","male",39,13,0,"Mr"
"804","1","1","female",33,53.1,1,"Mrs"
"805","0","3","male",26,7.8875,0,"Mr"
"806","0","3","male",39,24.15,0,"Mr"
"807","0","2","male",35,10.5,0,"Mr"
"808","0","3","female",6,31.275,6,"Miss"
"809","0","3","male",30.5,8.05,0,"Mr"
"810","0","1","male",29.6991176470588,0,0,"Mr"
"811","0","3","female",23,7.925,0,"Miss"
"812","0","2","male",31,37.0042,2,"Mr"
"813","0","3","male",43,6.45,0,"Mr"
"814","0","3","male",10,27.9,5,"Master"
"815","1","1","female",52,93.5,2,"Mrs"
"816","1","3","male",27,8.6625,0,"Mr"
"817","0","1","male",38,0,0,"Noble male"
"818","1","3","female",27,12.475,1,"Mrs"
"819","0","3","male",2,39.6875,5,"Master"
"820","0","3","male",29.6991176470588,6.95,0,"Mr"
"821","0","3","male",29.6991176470588,56.4958,0,"Mr"
"822","1","2","male",1,37.0042,2,"Master"
"823","1","3","male",29.6991176470588,7.75,0,"Mr"
"824","1","1","female",62,80,0,"Mrs"
"825","1","3","female",15,14.4542,1,"Mrs"
"826","1","2","male",0.83,18.75,2,"Master"
"827","0","3","male",29.6991176470588,7.2292,0,"Mr"
"828","0","3","male",23,7.8542,0,"Mr"
"829","0","3","male",18,8.3,0,"Mr"
"830","1","1","female",39,83.1583,2,"Miss"
"831","0","3","male",21,8.6625,0,"Mr"
"832","0","3","male",29.6991176470588,8.05,0,"Mr"
"833","1","3","male",32,56.4958,0,"Mr"
"834","1","1","male",29.6991176470588,29.7,0,"Mr"
"835","0","3","male",20,7.925,0,"Mr"
"836","0","2","male",16,10.5,0,"Mr"
"837","1","1","female",30,31,0,"Miss"
"838","0","3","male",34.5,6.4375,0,"Mr"
"839","0","3","male",17,8.6625,0,"Mr"
"840","0","3","male",42,7.55,0,"Mr"
"841","0","3","male",29.6991176470588,69.55,10,"Mr"
"842","0","3","male",35,7.8958,0,"Mr"
"843","0","2","male",28,33,1,"Noble male"
"844","1","1","female",29.6991176470588,89.1042,1,"Mrs"
"845","0","3","male",4,31.275,6,"Master"
"846","0","3","female",9,15.2458,2,"Miss"
"847","1","1","female",16,39.4,1,"Miss"
"848","0","2","female",44,26,1,"Mrs"
"849","1","3","female",18,9.35,1,"Mrs"
"850","1","1","female",45,164.8667,2,"Mrs"
"851","1","1","male",51,26.55,0,"Mr"
"852","1","3","female",24,19.2583,3,"Mrs"
"853","0","3","male",29.6991176470588,7.2292,0,"Mr"
"854","0","3","male",41,14.1083,2,"Mr"
"855","0","2","male",21,11.5,1,"Mr"
"856","1","1","female",48,25.9292,0,"Mrs"
"857","0","3","female",29.6991176470588,69.55,10,"Miss"
"858","0","2","male",24,13,0,"Mr"
"859","1","2","female",42,13,0,"Mrs"
"860","1","2","female",27,13.8583,1,"Miss"
"861","0","1","male",31,50.4958,0,"Mr"
"862","0","3","male",29.6991176470588,9.5,0,"Mr"
"863","1","3","male",4,11.1333,2,"Master"
"864","0","3","male",26,7.8958,0,"Mr"
"865","1","1","female",47,52.5542,2,"Mrs"
"866","0","1","male",33,5,0,"Mr"
"867","0","3","male",47,9,0,"Mr"
"868","1","2","female",28,24,1,"Mrs"
"869","1","3","female",15,7.225,0,"Miss"
"870","0","3","male",20,9.8458,0,"Mr"
"871","0","3","male",19,7.8958,0,"Mr"
"872","0","3","male",29.6991176470588,7.8958,0,"Mr"
"873","1","1","female",56,83.1583,1,"Mrs"
"874","1","2","female",25,26,1,"Mrs"
"875","0","3","male",33,7.8958,0,"Mr"
"876","0","3","female",22,10.5167,0,"Miss"
"877","0","2","male",28,10.5,0,"Mr"
"878","0","3","male",25,7.05,0,"Mr"
"879","0","3","female",39,29.125,5,"Mrs"
"880","0","2","male",27,13,0,"Noble male"
"881","1","1","female",19,30,0,"Miss"
"882","0","3","female",29.6991176470588,23.45,3,"Miss"
"883","1","1","male",26,30,0,"Mr"
"884","0","3","male",32,7.75,0,"Mr"
